old_filename,new_filename
"ChatGPT Image 2026年7月19日 下午10_15_03 (1).png","boundaryflow_v01_board_01_project_cover.png"
"ChatGPT Image 2026年7月19日 下午10_15_03 (2).png","boundaryflow_v01_board_02_project_overview.png"
"ChatGPT Image 2026年7月19日 下午10_15_03 (3).png","boundaryflow_v01_board_03_visual_system.png"
"ChatGPT Image 2026年7月19日 下午10_15_03 (4).png","boundaryflow_v01_board_04_information_architecture.png"
"ChatGPT Image 2026年7月19日 下午10_15_03 (5).png","boundaryflow_v01_board_05_key_screens_overview.png"
"ChatGPT Image 2026年7月19日 下午10_15_03 (6).png","boundaryflow_v01_board_06_ui_components.png"
"ChatGPT Image 2026年7月19日 下午10_15_03 (7).png","boundaryflow_v01_board_07_icons_illustration_assets.png"
"ChatGPT Image 2026年7月19日 下午10_15_03 (8).png","boundaryflow_v01_board_08_user_flow.png"
"ChatGPT Image 2026年7月20日 下午05_32_42 (1).png","boundaryflow_asset_pack_01_wearable_master_pack.png"
"ChatGPT Image 2026年7月20日 下午05_32_42 (2).png","boundaryflow_asset_pack_02_boundary_field_master_pack.png"
"ChatGPT Image 2026年7月20日 下午05_32_42 (3).png","boundaryflow_asset_pack_03_custom_icon_pack_a.png"
"ChatGPT Image 2026年7月20日 下午05_32_43 (4).png","boundaryflow_asset_pack_04_custom_icon_pack_b_status_set.png"
"ChatGPT Image 2026年7月20日 下午05_32_43 (5).png","boundaryflow_asset_pack_05_glass_plates_brand_ui_chrome.png"
"ChatGPT Image 2026年7月20日 下午05_32_43 (6).png","boundaryflow_asset_pack_06_support_illustration_pack.png"
"ChatGPT Image 2026年7月20日 下午05_32_44 (7).png","boundaryflow_asset_pack_07_atmosphere_texture_pack.png"
